Date,Time_ET,Match,Group,Venue
2026-06-17,13:00,Portugal vs DR Congo,K,"NRG Stadium, Houston, Texas, USA"
2026-06-17,16:00,England vs Croatia,L,"AT&T Stadium, Arlington, Texas, USA"
2026-06-17,19:00,Ghana vs Panama,L,"BMO Field, Toronto, Canada"
2026-06-17,22:00,Uzbekistan vs Colombia,K,"Estadio Azteca, Mexico City, Mexico"
2026-06-18,12:00,Czechia vs South Africa,A,"Mercedes-Benz Stadium, Atlanta, Georgia, USA"
2026-06-18,15:00,Switzerland vs Bosnia and Herzegovina,B,"SoFi Stadium, Inglewood, California, USA"
2026-06-18,18:00,Canada vs Qatar,B,"BC Place, Vancouver, Canada"
2026-06-18,23:00,Mexico vs South Korea,A,"Estadio Akron, Zapopan, Jalisco, Mexico"
2026-06-19,15:00,United States vs Australia,D,"Lumen Field, Seattle, Washington, USA"
2026-06-19,18:00,Scotland vs Morocco,C,"Gillette Stadium, Foxborough, Massachusetts, USA"
2026-06-19,21:00,Brazil vs Haiti,C,"Lincoln Financial Field, Philadelphia, Pennsylvania, USA"
2026-06-19,00:00 (Jun 20),Türkiye vs Paraguay,D,"Levi's Stadium, Santa Clara, California, USA"
2026-06-20,13:00,Netherlands vs Sweden,F,"NRG Stadium, Houston, Texas, USA"
2026-06-20,16:00,Germany vs Ivory Coast,E,"BMO Field, Toronto, Canada"
2026-06-20,20:00,Ecuador vs Curaçao,E,"GEHA Field at Arrowhead Stadium, Kansas City, Missouri, USA"
2026-06-20,00:00 (Jun 21),Tunisia vs Japan,F,"Estadio BBVA, Guadalupe, Nuevo León, Mexico"
2026-06-21,12:00,Spain vs Saudi Arabia,H,"Mercedes-Benz Stadium, Atlanta, Georgia, USA"
2026-06-21,15:00,Belgium vs Iran,G,"SoFi Stadium, Inglewood, California, USA"
2026-06-21,18:00,Uruguay vs Cape Verde,H,"Hard Rock Stadium, Miami Gardens, Florida, USA"
2026-06-21,21:00,New Zealand vs Egypt,G,"BC Place, Vancouver, Canada"
